ID,name,energy,protein,carbs,sugar,calcium,potassium,sodium,fa_sat,fa_mono,fa_poly,cholest
154,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200,5.71,42.86,6.58,86,41,164,0.821,0.942,0.805,21
155,"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",147,4.41,33.09,22.06,184,316,92,0.81,0.462,0.052,7
156,"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ",88,4.4,11.88,2.64,110,176,92,0.232,2.318,0.395,2
157,"CHEESE,MEXICAN BLEND",358,23.54,1.75,1.23,659,85,338,17.027,7.871,0.864,95
158,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",307,16.09,8.85,6.24,1375,295,1279,12.931,5.655,0.99,78
159,"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371,18.13,3.7,2.26,1045,132,1671,18.057,8.236,1.286,100
160,"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",330,16.86,8.56,5.59,682,255,1441,15.057,6.846,1.049,98
161,"EGG,WHL,RAW,FRZ,SALTED,PAST",138,10.97,0.83,0.07,55,128,3663,3.178,4,1.627,387
162,"YOGURT,GREEK,PLN,NONFAT",59,10.19,3.6,3.24,110,141,36,0.117,0.053,0.012,5
163,"CHEESE SPRD,AMERICAN OR CHEDDAR CHS BASE,RED FAT",176,13.41,10.71,7.06,557,250,1102,5.647,2.458,0.415,38
164,"CHEESE,CHEDDAR,RED FAT",309,27.35,4.06,0.26,761,63,628,12.602,5.304,0.893,76
165,"ICE CRM,LT,SOFT SERVE,CHOC",141,3.36,23.15,19.46,134,207,64,2.349,1.033,0.125,15
166,"ICE CRM BAR,STK OR NUGGET,W/ CRUNCH COATING",358,2.11,37.12,21.05,63,71,84,17.895,1.173,2.208,16
167,"CHEESE,CHEDDAR,SHARP,SLICED",410,24.25,2.13,0.27,711,76,644,19.368,8.428,1.433,99
168,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM,SHREDDED",304,23.63,8.06,2.24,716,131,682,11.472,5.104,0.861,65
169,"YOGURT,GREEK,STRAWBERRY,DANNON OIKOS",106,8.25,11.67,11,86,131,34,1.832,0.745,0.131,13
170,"YOGURT,GREEK,STRAWBERRY,LOWFAT",103,8.17,11.89,11.23,88,129,33,1.599,0.65,0.113,12
171,"YOGURT,GREEK,STRAWBERRY,NONFAT",82,8.05,12.07,11.27,97,132,33,0.105,0.026,0.014,4
172,"YOGURT,GREEK,VANILLA,NONFAT",78,8.64,10.37,9.54,99,123,34,0.133,0.039,0.009,3
173,"YOGURT,GREEK,PLN,LOWFAT",73,9.95,3.94,3.56,115,141,34,1.23,0.486,0.076,10
174,"KEFIR,LOWFAT,PLN,LIFEWAY",41,3.79,4.48,4.61,130,164,40,0.658,0.31,0.053,5
175,"KEFIR,LOWFAT,STRAWBERRY,LIFEWAY",62,3.39,10.2,9.21,119,154,37,0.533,0.262,0.041,5
176,"YOGURT,GREEK,PLN,WHL MILK",97,9,3.98,4,100,141,35,2.395,2.136,0.469,13
177,"YOGURT,GREEK,FRUIT,WHL MILK",106,7.33,12.29,12,100,113,37,1.599,1.265,0.219,10
178,"YOGURT,GREEK,VANILLA,LOWFAT",95,8.64,9.54,9.54,100,123,40,1.465,0.846,0.203,5
179,"YOGURT,FRZ,FLAVORS OTHER THAN CHOC,LOWFAT",139,8,21,21,200,108,45,1.509,0.685,0.069,45
180,"ICE CRM BAR,COVERED W/ CHOC & NUTS",303,5.62,11.89,10.8,90,304,56,15.904,6.208,1.879,56
181,ICE CRM SUNDAE CONE,254,3,28.89,21.26,60,204,115,2.717,1.775,0.747,15
182,"LIGHT ICE CRM,CREAMSICLE",165,1.54,32.75,18.46,62,174,46,1.813,0.819,0.137,8
183,"CREAM,HALF & HALF,LOWFAT",72,3.33,3.33,3.33,133,132,50,3.276,1.526,0.257,17
184,"MILK,CHOC,LOWFAT,RED SUGAR",54,3.43,7.68,7.29,122,168,66,0.616,0.29,0.054,5
185,"ICE CRM,LOWFAT,NO SUGAR ADDED,CONE,ADDED PNUTS & CHOC SAU",265,5.33,40.01,10.67,133,213,113,6.598,1.061,0.434,7
186,"BABYFOOD,MEAT,CHICK STKS,JR",188,14.6,1.5,1.4,73,106,267,4.094,6.267,2.986,78
187,"Babyfood, meat, turkey sticks, junior",188,13.7,1.4,1.4,83,120,295,4.143,4.671,3.615,65
188,"BABYFOOD,MEAT,MEAT STKS,JR",184,13.4,1.1,0.8,34,114,267,5.82,6.48,1.59,70
189,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",61,2.36,9.45,2.09,17,112,38,0.486,0.594,0.193,7
190,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",59,2.5,9.4,2.43,14,72,35,0.411,0.447,0.079,4
191,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",99,3.6,16.3,0.59,54,32,282,0.96,0.57,0.48,7
192,"BABYFOOD,DINNER,BF NOODLE,STR",63,2.44,8.18,1.42,10,87,15,0.937,0.941,0.141,8
193,"BABYFOOD,MACARONI&CHS,TODD",82,3.5,11.2,0.79,102,18,112,1.53,0.7,0.17,7
194,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",68,2.57,11.42,2.72,15,122,30,0.543,0.497,0.185,5
195,"BABYFOOD,DINNER,BF STEW,TODD",51,5.1,5.5,1.39,9,142,106,0.58,0.44,0.1,13
196,"BABYFOOD,DINNER,VEG&BF,STR",77,2.21,8.84,2.34,17,145,31,0.87,0.82,0.19,7
197,"BABYFOOD,DINNER,VEG&BF,JR",77,2.21,8.84,2.34,17,145,31,1.367,1.289,0.298,7
198,"BABYFOOD,DINNER,BF W/VEG",96,2.03,6.36,2.16,19,127,38,2.84,3.12,0.9,12
199,"BABYFOOD,DINNER,VEG&BACON,STR",69,1.92,8.81,1.77,14,116,49,1.063,1.347,0.377,4
200,"BABYFOOD,DINNER,VEG&HAM,STR",59,2.19,7.8,1.37,16,141,16,0.764,0.963,0.234,5
201,"BABYFOOD,DINNER,VEG&HAM,JR",60,2.02,8.64,0.99,14,97,45,0.483,0.811,0.448,3
202,"BABYFOOD,DINNER,VEG&LAMB,STR",52,2,6.9,0.94,12,94,20,0.828,0.822,0.167,6
203,"BABYFOOD,DINNER,VEG&LAMB,JR",51,2.1,7.1,0.94,13,95,13,0.696,0.69,0.154,5
204,"BABYFOOD,DINNER,CHICK NOODLE,STR",66,2.69,9.08,2.5,27,139,38,0.595,0.854,0.461,16
205,"BABYFOOD,DINNER,CHICK NOODLE,JR",55,2.37,8.79,1.07,21,39,35,0.338,0.467,0.272,9
206,"BABYFOOD,DINNER,CHICK SOUP,STR",50,1.6,7.2,1.72,37,66,16,0.278,0.425,0.9,4
207,BABYFOOD  DINNER  CHICK STEW  TODD,78,5.2,6.4,1.68,36,92,25,1.1,1.7,0.77,29
208,"BABYFOOD,DINNER,VEG CHICK,STR",59,2.47,8.42,1.58,27,158,24,0.496,0.712,0.374,11
209,"BABYFOOD,DINNER,PASTA W/VEG",60,1.7,8.4,1.2,14,133,11,1.23,0.58,0.144,5
210,"BABYFOOD,DINNER,TURKEY&RICE,STR",52,2.27,7.94,1.66,18,91,19,0.338,0.446,0.308,5
211,"BABYFOOD,DINNER,TURKEY & RICE,JR",56,2.37,9.57,1.25,24,86,23,0.239,0.304,0.233,4
212,"BABYFOOD,DINNER,VEG&TURKEY,STR",48,2.32,7.62,1.54,27,102,20,0.236,0.294,0.241,4
213,"BABYFOOD,DINNER,VEG&TURKEY,JR",53,1.72,7.55,1.36,16,98,45,0.485,0.687,0.391,4
214,"BABYFOOD,DINNER,MACARONI&CHS,STR",67,3.14,8.95,1.27,66,67,119,1.291,0.581,0.103,7
215,"BABYFOOD,DINNER,MACARONI&CHS,JR",61,2.6,8.2,1.32,51,44,266,1.175,0.534,0.132,6
216,"BABYFOOD,VEG,GRN BNS&POTATOES",62,2.2,9,2.35,60,148,18,1.117,0.539,0.132,5
217,"BABYFOOD,VEG,CORN,CRMD,STR",57,1.4,14.1,1.23,20,90,43,0.076,0.116,0.176,1
218,"BABYFOOD,VEG,CORN,CRMD,JR",65,1.4,16.25,1.48,4,81,52,0.074,0.116,0.178,1
219,"BABYFOOD,VEG,SPINACH,CRMD,STR",37,2.5,5.7,2.33,89,191,49,0.702,0.332,0.133,5
220,"BABYFOOD,COOKIE,BABY,FRUIT",435,6.8,73.7,24.2,83,425,9,2.7,4.865,4.334,4
